Date,^GSPC,^FTSE,^N225,EEM,GC=F,TLT,GBPUSD=X,JPY=X
2009-03-19,9033870000.0,2067532600.0,138000000.0,95853100.0,360.0,3650900.0,0.0,0.0
2009-03-20,7643720000.0,2098960900.0,,68480300.0,23.0,3479700.0,0.0,0.0
2009-03-23,7715770000.0,1437096700.0,178400000.0,135850200.0,30.0,2097000.0,0.0,0.0
2009-03-24,6767980000.0,1405266400.0,195000000.0,101954700.0,1494.0,5477100.0,0.0,0.0
2009-03-25,7687180000.0,1320622600.0,162000000.0,111157000.0,97.0,2549600.0,0.0,0.0
2009-03-26,6992960000.0,1425099300.0,135200000.0,76714100.0,66.0,2385300.0,0.0,0.0
2009-03-27,5600210000.0,1489157700.0,157900000.0,98452500.0,106869.0,1853900.0,0.0,0.0
2009-03-30,5912660000.0,1236805000.0,164200000.0,78970500.0,58837.0,2300100.0,0.0,0.0
2009-03-31,6089100000.0,1504770600.0,178800000.0,83243900.0,7403.0,1094600.0,0.0,0.0
2009-04-01,6034140000.0,1290451600.0,157000000.0,62557700.0,3659.0,2383400.0,0.0,0.0
2009-04-02,7542810000.0,1638677500.0,212900000.0,106959400.0,3389.0,1766300.0,0.0,0.0
2009-04-03,5855640000.0,1372120500.0,217500000.0,75869500.0,1616.0,3316800.0,0.0,0.0
2009-04-06,6210000000.0,1210070400.0,173500000.0,71265800.0,1078.0,1418100.0,0.0,0.0
2009-04-07,5155580000.0,1084360400.0,150600000.0,45654200.0,395.0,1312600.0,0.0,0.0
2009-04-08,5938460000.0,1093133700.0,167900000.0,48555500.0,119.0,1007800.0,0.0,0.0
2009-04-09,7600710000.0,1119752000.0,192000000.0,90146100.0,360.0,1088800.0,0.0,0.0
2009-04-10,,,228700000.0,,,,0.0,0.0
2009-04-13,6434890000.0,,167500000.0,52643700.0,418.0,946600.0,0.0,0.0
2009-04-14,7569840000.0,1385019700.0,181800000.0,59824500.0,362.0,1336000.0,0.0,0.0
2009-04-15,6241100000.0,1214774200.0,158400000.0,54941500.0,665.0,1152500.0,0.0,0.0
2009-04-16,6598670000.0,1235529000.0,172900000.0,81078700.0,632.0,1055600.0,0.0,0.0
2009-04-17,7352010000.0,1554328000.0,184300000.0,53672500.0,212.0,2582800.0,0.0,0.0
2009-04-20,6973960000.0,1222655500.0,167900000.0,81304500.0,655.0,1714400.0,0.0,0.0
2009-04-21,7436490000.0,1470716700.0,175400000.0,78959000.0,230.0,909100.0,0.0,0.0
2009-04-22,7327860000.0,1289423600.0,195000000.0,49027000.0,330.0,2278100.0,0.0,0.0
2009-04-23,6563100000.0,1098268000.0,186200000.0,60314600.0,234.0,1688300.0,0.0,0.0
2009-04-24,7114440000.0,1272567300.0,212200000.0,55511400.0,438.0,2830000.0,0.0,0.0
2009-04-27,5613460000.0,975338500.0,152300000.0,63328900.0,1179.0,2294600.0,0.0,0.0
2009-04-28,6328000000.0,976964600.0,169600000.0,47904400.0,308.0,2332500.0,0.0,0.0
2009-04-29,6101620000.0,1154592800.0,,74377700.0,809.0,3752600.0,0.0,0.0
2009-04-30,6862540000.0,1479187400.0,174900000.0,98171200.0,212.0,2778100.0,0.0,0.0
2009-05-01,5312170000.0,600337900.0,154800000.0,57110400.0,506.0,2772200.0,0.0,0.0
2009-05-04,7038840000.0,,,98247800.0,83.0,2246700.0,0.0,0.0
