Date,^GSPC,^FTSE,^N225,EEM,GC=F,TLT,GBPUSD=X,JPY=X
2009-01-01,,,,,,,1.4740999937057495,90.66699981689453
2009-01-02,931.7999877929688,4561.7998046875,,18.54895782470703,878.7999877929688,72.68718719482422,1.4523905515670776,91.79000091552734
2009-01-05,927.4500122070312,4579.60009765625,9043.1201171875,18.790035247802734,857.2000122070312,70.8129653930664,1.4716053009033203,93.21700286865234
2009-01-06,934.7000122070312,4638.89990234375,9080.83984375,19.215476989746094,865.4000244140625,70.10086822509766,1.4912018775939941,93.37999725341797
2009-01-07,906.6500244140625,4507.5,9239.240234375,18.109346389770508,841.0999755859375,70.3756103515625,1.5079090595245361,92.68000030517578
2009-01-08,909.72998046875,4505.39990234375,8876.419921875,18.03134536743164,853.9000244140625,70.31942749023438,1.522695779800415,91.36000061035156
2009-01-09,890.3499755859375,4448.5,8836.7998046875,17.641361236572266,854.2999877929688,70.42566680908203,1.5179113149642944,90.37000274658203
2009-01-12,870.260009765625,4426.2001953125,,16.8968563079834,820.2999877929688,71.15653991699219,1.4818986654281616,89.43000030517578
2009-01-13,871.7899780273438,4399.2001953125,8413.91015625,16.94648551940918,820.0999755859375,71.23155212402344,1.4516948461532593,89.34100341796875
2009-01-14,842.6199951171875,4180.60009765625,8438.4501953125,16.123981475830078,808.2000122070312,72.40603637695312,1.4620951414108276,89.16000366210938
2009-01-15,843.739990234375,4121.10009765625,8023.31005859375,16.30834197998047,806.7000122070312,72.52476501464844,1.467200756072998,89.94000244140625
2009-01-16,850.1199951171875,4147.10009765625,8230.150390625,16.485605239868164,839.2999877929688,71.406494140625,1.473405122756958,90.9000015258789
2009-01-19,,4108.5,8256.849609375,,,,1.4425435066223145,90.62000274658203
2009-01-20,805.219970703125,4091.39990234375,8065.7900390625,15.258929252624512,854.5999755859375,71.39399719238281,1.3877516984939575,89.80999755859375
2009-01-21,840.239990234375,4059.89990234375,7901.64013671875,16.088531494140625,849.5999755859375,69.13872528076172,1.387597680091858,89.05000305175781
2009-01-22,827.5,4052.199951171875,8051.740234375,15.556733131408691,858.2000122070312,67.80804443359375,1.3880406618118286,89.1259994506836
2009-01-23,831.9500122070312,4052.5,7745.25,15.755268096923828,895.2999877929688,67.2770004272461,1.3783026933670044,88.76000213623047
2009-01-26,836.5700073242188,4209.0,7682.14013671875,15.939626693725586,908.5,66.68978881835938,1.397096872329712,89.23999786376953
2009-01-27,845.7100219726562,4194.39990234375,8061.06982421875,16.223247528076172,899.2000122070312,68.25787353515625,1.4186408519744873,89.33000183105469
2009-01-28,874.0900268554688,4295.2001953125,8106.2900390625,17.04575538635254,888.0999755859375,66.5523681640625,1.4229811429977417,90.46199798583984
2009-01-29,845.1400146484375,4190.10009765625,8251.240234375,16.180702209472656,905.0999755859375,65.02176666259766,1.4278982877731323,89.91000366210938
2009-01-30,825.8800048828125,4149.60009765625,7994.0498046875,16.06016731262207,927.2999877929688,64.81558990478516,1.456303596496582,89.9000015258789
2009-02-02,825.4400024414062,4077.800048828125,7873.97998046875,15.897080421447754,906.7000122070312,66.0215072631836,1.4212015867233276,89.36000061035156
2009-02-03,838.510009765625,4164.5,7825.509765625,16.372146606445312,892.0,64.4491195678711,1.4437098503112793,89.37000274658203
2009-02-04,832.22998046875,4228.60009765625,8038.93994140625,16.492691040039062,901.5999755859375,64.2236099243164,1.44590163230896,89.41999816894531
2009-02-05,845.8499755859375,4228.89990234375,7949.64990234375,16.840133666992188,913.5999755859375,64.27996063232422,1.4632076025009155,91.1500015258789
2009-02-06,868.5999755859375,4291.89990234375,8076.6201171875,17.683910369873047,913.9000244140625,64.0794906616211,1.4774976968765259,91.91999816894531
2009-02-09,869.8900146484375,4307.60009765625,7969.02978515625,17.59173011779785,892.4000244140625,64.28626251220703,1.4855530261993408,91.30999755859375
2009-02-10,827.1599731445312,4213.10009765625,7945.93994140625,16.52814483642578,913.7000122070312,65.6832504272461,1.45587956905365,90.44400024414062
2009-02-11,833.739990234375,4234.2998046875,,17.02448844909668,943.7999877929688,66.5351333618164,1.4350084066390991,90.29000091552734
2009-02-12,835.1900024414062,4202.2001953125,7705.35986328125,16.91812515258789,948.5,65.90878295898438,1.4291023015975952,90.66999816894531
2009-02-13,826.8400268554688,4189.60009765625,7779.39990234375,17.003211975097656,941.5,64.1546859741211,1.4359976053237915,91.86000061035156
2009-02-16,,4134.7998046875,7750.169921875,,,,1.4298174381256104,91.70999908447266
2009-02-17,789.1699829101562,4034.10009765625,7645.509765625,15.918351173400879,967.0,66.15306854248047,1.4239943027496338,92.2760009765625
2009-02-18,788.4199829101562,4006.800048828125,7534.43994140625,15.804901123046875,977.7000122070312,65.58924865722656,1.4250901937484741,93.62999725341797
2009-02-19,778.9400024414062,4018.39990234375,7557.64990234375,15.656001091003418,976.0999755859375,64.47418212890625,1.4266964197158813,94.01100158691406
2009-02-20,770.0499877929688,3889.10009765625,7416.3798828125,15.258929252624512,1001.7999877929688,65.10063934326172,1.4438974857330322,93.33999633789062
2009-02-23,743.3300170898438,3850.699951171875,7376.16015625,14.883124351501465,994.5999755859375,65.70199584960938,1.4470943212509155,94.4000015258789
2009-02-24,773.1400146484375,3816.39990234375,7268.56005859375,15.698543548583984,969.0999755859375,65.63310241699219,1.452854871749878,96.55000305175781
2009-02-25,764.9000244140625,3849.0,7461.22021484375,15.429102897644043,965.7000122070312,64.87506103515625,1.4220906496047974,97.38999938964844
